Variable,Grouping 1,Grouping 2,Base vs Marketing
Actual,Dependent,Dependent,Dependent
Predicted,,EXCLUDE,EXCLUDE
Category - Can.Volume Sales - Drug,Category,Category,Base
Category - Can.Volume Sales - Food,Category,Category,Base
SNACKS.PR Impressions,PR,PR,Marketing
PRIVATE LABEL - CAN.Base Price (USE),Base Price,Competitive Base Price,Competition
SNACKS - CANS.Base Price (Volume),Base Price,Base Price,Base
SNACKS - CANS.Base Price (Volume) - Drug,Base Price,Base Price,Base
SNACKS - CANS.Base Price (Volume) - Food,Base Price,Base Price,Base
SNACKS.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS.Digital Display Impressions,Digital,Display,Marketing
SNACKS - CANS.Quad Week %ACV _v3 - Drug,Distribution,Distribution,Base
SNACKS - CANS.Quad Week %ACV _v3 - Food,Distribution,Distribution,Base
SNACKS - CANS.Total FSIs,In Store,FSIs,Marketing
Constant.Intercept,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.California - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Great Lakes - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Food",Intercept,Intercept,Base
